Stocks Data Base;;;
;;;
Food Name;; Amount ;
Starters;;;
Appetizer Plate;;20;
Cheese Plate;;60;
Delicatessen Plate;;20;
 Octopus Carpaccio ;;20;
Potato Chips;;50;
Grilled Broccoli;;40;
Soups;;;
Chichken Soup;;20;
Ezogelin Soup;;30;
Soup Of The Day;;2;
Salads;;;
Gevur Da_ı;;10;
Sezar;;50;
Yedikule;;30;
Pastas;;;
Spaghetti Al Ragu;;60;
Penne Primavera;;30;
Fettuccine Alfredo;;50;
Seafood Tortellini;;20;
MainDishes;;;
Mantı;;20;
Meatball;;40;
Sea Bass;;50;
Cowboy Ribeye Steak;;60;
Grilled Tenderloin;;120;
Desserts;;;
Baklava;;30;
Cheesecake;;50;
Chocolate Souffle;;80;
Rice Pudding;;170;
Drinks;;;
Coca Cola Zero;;200;
Coca Cola;;160;
Erikli Water;;250;
Ni_de Sparkling Water;;190;
G.H. Mumm. Cordon Rouge Brut. Champagne;;40;
Château Kaloak Red;;60;
Terre Rosse, Pinot Grigio White;;61;
Château d'Esclans, Whisperina Angel Rosé;;62;
